名前	x	y	タイプ	label	進路名
TH65_TAP	790	221	dest	TA	TH65_1RTA
TH65_TBP	790	251	dest	TB	TH65_1RTB
TH65_TCP	790	271	dest	TC	TH65_1RTC
TH65_TP	701	241	dest	T	TH65_5L
					TH65_6L
TH65_AP	888	221	dest	A	TH65_2R
					TH65_2RZ
					TH65_31LA
					TH65_32LA
					TH65_31LZA
					TH65_32LZA
TH65_BP	888	251	dest	B	TH65_3R
					TH65_3RZ
					TH65_29LB
					TH65_31LB
					TH65_32LB
					TH65_29LZB
					TH65_31LZB
					TH65_32LZB
TH65_CP	888	271	dest	C	TH65_4R
					TH65_4RZ
					TH65_11L
					TH65_27L
					TH65_11LZ
					TH65_27LZ
TH65_DP	888	301	dest	D	TH65_12L
					TH65_28L
					TH65_12LZ
					TH65_28LZ
TH65_5P	888	331	dest	5	TH65_29L5
					TH65_31L5
					TH65_29LZ5
					TH65_31LZ5
					TH65_32L5
TH65_6P	888	351	dest	6	TH65_29L6
					TH65_31L6
					TH65_32L6
					TH65_29LZ6
					TH65_31LZ6
					TH65_32LZ6
TH65_SCP	1122	271	dest	SC	TH65_13LSC
					TH65_29LSC
					TH65_31LSC
					TH65_32LSC
TH65_SDP	1122	301	dest	SD	TH65_13LSD
					TH65_29LSD
					TH65_31LSD
					TH65_32LSD
TH65_EP	1301	241	dest	E	TH65_22RE
					TH65_23RE
					TH65_24RE
					TH65_25RE
					TH65_26RE
					TH65_32LE
TH65_XP	1419	221	dest	X	TH65_7R
					TH65_8R
					TH65_9R
					TH65_10R
					TH65_21RX
					TH65_22RX
					TH65_23RX
					TH65_24RX
					TH65_25RX
					TH65_26RX
					TH65_21RZX
					TH65_22RZX
					TH65_23RZX
					TH65_24RZX
					TH65_25RZX
					TH65_26RZX
TH65_YP	1419	241	dest	Y	TH65_21RY
					TH65_22RY
					TH65_23RY
					TH65_24RY
					TH65_25RY
					TH65_26RY
					TH65_30R
					TH65_21RZY
					TH65_22RZY
					TH65_23RZY
					TH65_24RZY
					TH65_25RZY
					TH65_26RZY
					TH65_30RZ
